Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Stock
2013-08-12,ICICIBANK,EQ,875.05,884.5,891.35,861.6,864.25,867.05,879.55,5716285,502776520205000.0,124576.0,4090667.0,0.7156,ICICIBANK
2013-08-13,ICICIBANK,EQ,867.05,858.1,897.65,851.1,891.6,892.55,876.35,4181158,366415027665000.0,90156.0,1962193.0,0.4693,ICICIBANK
2013-08-14,ICICIBANK,EQ,892.55,895.0,913.95,886.55,905.0,905.95,901.89,4422779,398885970150000.0,102127.0,2540138.0,0.5743,ICICIBANK
2013-08-16,ICICIBANK,EQ,905.95,894.0,896.4,856.0,858.2,858.6,867.36,6308775,547197455635000.06,122075.0,4467544.0,0.7081000000000001,ICICIBANK
2013-08-19,ICICIBANK,EQ,858.6,861.6,861.6,810.0,813.0,815.35,823.85,5935284,488979365475000.0,122312.0,3695559.0,0.6226,ICICIBANK
2013-08-20,ICICIBANK,EQ,815.35,796.95,834.85,788.9,829.0,830.4,819.22,6715926,550183425325000.0,181390.0,4295328.0,0.6396000000000001,ICICIBANK
2013-08-21,ICICIBANK,EQ,830.4,868.3,880.05,803.75,840.0,829.55,840.12,11576907,972602895215000.0,177445.0,8165626.0,0.7053,ICICIBANK
2013-08-22,ICICIBANK,EQ,829.55,827.0,835.55,802.0,831.25,831.1,822.67,7609849,626035873715000.0,264996.0,4185966.0,0.5501,ICICIBANK
2013-08-23,ICICIBANK,EQ,831.1,836.0,866.0,821.4,848.5,853.05,849.49,7856372,667387928410000.0,144098.0,4933099.0,0.6279,ICICIBANK
2013-08-26,ICICIBANK,EQ,853.05,852.55,858.25,821.1,832.0,830.45,834.69,6577322,549001311670000.0,127801.0,4000332.0,0.6082,ICICIBANK
2013-08-27,ICICIBANK,EQ,830.45,818.9,824.0,800.0,803.0,802.6,808.11,7258388,586558821790000.0,148605.0,4877334.0,0.672,ICICIBANK
2013-08-28,ICICIBANK,EQ,802.6,792.0,808.65,756.9,797.15,796.35,781.5,7925269,619357381985000.0,165712.0,4254267.0,0.5368,ICICIBANK
2013-08-29,ICICIBANK,EQ,796.35,814.4,818.0,792.6,809.0,807.2,804.67,5517399,443966316105000.0,116334.0,2660497.0,0.4822,ICICIBANK
2013-08-30,ICICIBANK,EQ,807.2,810.85,827.4,796.5,819.0,803.75,807.37,14797397,1194693018240000.0,197061.0,9915564.0,0.6701,ICICIBANK
